id;ingresos;gastos_financieros;default
1;1141;0;0
2;1722;356;1
3;2107;145;0
4;1379;607;0
5;1407;215;1
6;1015;59;0
7;1182;0;0
8;2856;788;0
9;1214;273;0
10;826;94;1
11;1071;211;0
12;991;0;0
13;1904;280;0
14;1354;63;1
15;1106;47;0
16;994;0;1
17;1099;244;0
18;1195;1262;0
19;1127;438;1
20;1078;224;0
21;973;0;0
22;1309;0;0
23;1029;0;0
24;1225;0;1
25;2753;1498;0
26;1099;0;1
27;931;0;0
28;1428;33;0
29;1645;0;0
30;1481;111;0
31;2016;2166;1
32;2058;704;0
33;1344;0;0
34;1001;213;1
35;1127;33;0
36;1057;0;0
37;2233;892;1
38;1155;205;0
39;910;0;0
40;1435;0;0
41;1049;0;0
42;1267;64;0
43;1057;140;0
44;1421;441;0
45;959;90;0
46;1099;181;0
47;928;0;0
48;1106;14;0
49;985;0;0
50;1400;228;0
51;1119;164;0
52;973;76;1
53;1155;607;0
54;1818;559;1
55;1281;99;0
56;800;86;0
57;1837;565;0
58;959;30;0
59;1290;584;0
60;1155;0;0
61;1190;0;0
62;1841;359;0
63;1078;107;0
64;1022;245;0
65;1127;0;0
66;1232;326;0
67;1225;216;0
68;1197;0;0
69;2177;520;0
70;2296;2245;0
71;1519;0;0
72;1344;568;1
73;1074;146;0
74;1225;294;1
75;1449;0;1
76;987;0;1
77;1125;156;0
78;1169;0;0
79;1169;0;0
80;1227;56;0
81;1701;108;0
82;1323;448;0
83;1736;359;0
84;1022;61;0
85;1589;848;1
86;1365;107;0
87;1080;241;0
88;1064;25;1
89;1204;94;0
90;1169;612;0
91;2009;124;1
92;1068;125;0
93;940;436;1
94;1855;1416;0
95;1771;459;0
96;1078;562;0
97;1211;0;1
98;1214;0;0
99;1099;350;0
100;994;0;0
101;2086;166;0
102;1344;0;0
103;1428;0;1
104;1061;0;0
105;980;134;0
106;1316;1041;0
107;1407;404;1
108;1253;482;0
109;1365;376;0
110;1659;475;1
111;928;0;0
112;1001;0;0
113;1411;333;1
114;1750;1086;0
115;2016;709;1
116;1708;323;0
117;973;0;1
118;1087;0;0
119;998;212;0
120;1029;0;0
121;1190;75;0
122;915;0;0
123;1302;162;0
124;1360;92;1
125;1341;26;0
126;1085;0;1
127;1468;97;1
128;1757;1199;0
129;1239;0;1
130;1841;438;0
131;1204;140;1
132;1099;637;0
133;1204;120;1
134;1127;161;1
135;2327;1351;1
136;1386;307;0
137;1087;0;0
138;1162;0;0
139;1717;593;1
140;1023;105;0
141;2772;1166;0
142;1827;547;0
143;1610;0;0
144;1848;663;0
145;1477;249;0
146;839;33;0
147;1080;441;0
148;1162;185;0
149;2104;348;0
150;1337;434;0
151;1220;142;0
152;1214;409;0
153;1659;296;0
154;1022;0;1
155;1087;359;0
156;1071;253;1
157;1477;221;0
158;2100;343;0
159;959;0;0
160;1659;505;0
161;1119;110;1
162;973;177;0
163;864;0;0
164;1176;0;0
165;1057;165;0
166;1328;209;0
167;1551;0;1
168;1281;69;0
169;1462;0;0
170;1722;0;0
171;1225;28;0
172;1281;186;0
173;1131;74;0
174;1225;0;0
175;1169;84;0
176;1015;218;0
177;1624;221;0
178;1386;205;0
179;1295;92;0
180;1407;30;0
181;1827;128;0
182;1666;353;1
183;1106;28;0
184;1484;0;0
185;1260;682;0
186;1841;588;1
187;1144;591;0
188;1918;974;1
189;1148;0;0
190;1220;843;1
191;1134;0;0
192;1042;0;0
193;1631;522;0
194;1141;200;1
195;1341;467;0
196;1239;338;1
197;1169;305;0
198;1015;0;0
199;1148;0;0
200;2016;1446;0
201;1913;1329;0
202;2058;650;0
203;980;0;1
204;928;0;0
205;1379;88;0
206;889;104;0
207;1144;81;0
208;1264;628;0
209;877;132;0
210;1120;0;0
211;1043;38;0
212;1148;119;0
213;1351;246;0
214;1316;190;0
215;1162;490;0
216;938;137;0
217;1190;0;0
218;1386;75;0
219;1195;301;0
220;1183;66;0
221;1127;186;0
222;1233;85;0
223;1323;0;0
224;1484;46;0
225;1138;0;0
226;1337;372;1
227;973;28;0
228;1106;100;0
229;1211;135;0
230;1197;344;0
231;1036;0;0
232;1204;225;0
233;1554;142;1
234;1099;211;0
235;1617;501;1
236;1106;90;0
237;1526;695;0
238;945;486;0
239;1010;176;1
240;1647;348;0
241;1050;58;0
242;1214;324;0
243;1015;319;1
244;1232;0;0
245;1297;360;0
246;1687;0;0
247;1071;0;0
248;966;161;0
249;845;597;0
250;1316;286;1
251;1183;799;0
252;1055;0;0
253;1456;646;0
254;1148;379;0
255;1484;228;0
256;1050;0;1
257;1148;356;1
258;1290;93;0
259;1036;34;0
260;973;0;1
261;1017;307;0
262;1239;625;0
263;1190;293;0
264;1043;0;0
265;1064;0;0
266;1055;288;0
267;1295;0;0
268;1087;135;0
269;1309;0;1
270;1316;94;0
271;1190;9;0
272;1071;0;1
273;1150;76;1
274;1127;96;0
275;1087;502;0
276;1036;56;0
277;883;0;1
278;1218;0;0
279;1071;290;0
280;1127;0;1
281;1057;171;0
282;1302;89;1
283;973;0;0
284;1225;0;0
285;2690;1931;1
286;1176;0;0
287;1190;0;0
288;1057;152;0
289;1010;179;0
290;2590;430;0
291;1239;119;0
292;1404;0;0
293;1023;229;0
294;3010;391;0
295;1029;241;0
296;1078;209;0
297;1176;178;1
298;1197;70;0
299;1323;0;0
300;1512;0;0
301;1258;460;0
302;1328;84;0
303;980;268;0
304;1603;3580;0
305;973;198;0
306;1806;686;0
307;1260;251;0
308;1337;285;1
309;1715;587;0
310;973;0;0
311;1125;23;0
312;1162;122;0
313;1183;0;0
314;1519;0;0
315;1120;123;1
316;1274;0;1
317;2065;700;0
318;1036;0;0
319;1418;443;0
320;3591;2588;1
321;1722;803;0
322;1239;0;0
323;1085;0;0
324;2065;57;0
325;1169;22;0
326;1004;188;0
327;1253;272;1
328;1302;0;0
329;1372;140;0
330;2541;386;0
331;1470;396;1
332;1085;0;0
333;1365;144;0
334;1232;30;1
335;1672;656;0
336;1484;119;0
337;1087;242;0
338;1078;0;0
339;1087;238;0
340;1561;0;0
341;973;30;0
342;1029;0;1
343;959;0;0
344;1463;213;0
345;1673;327;1
346;1176;278;0
347;1348;934;0
348;1278;0;0
349;1414;102;0
350;1309;140;0
351;1575;0;0
352;1087;157;0
353;1190;0;1
354;1225;61;0
355;1078;76;0
356;1505;0;0
357;1421;260;0
358;1267;192;1
359;991;329;0
360;1491;0;0
361;973;0;0
362;1169;95;0
363;1799;886;0
364;1827;497;0
365;1621;106;1
366;1239;58;0
367;991;201;0
368;1372;0;1
369;1087;811;0
370;1204;171;0
371;1127;83;0
372;1288;160;0
373;1204;184;0
374;1182;354;0
375;1295;0;1
376;1169;0;1
377;1190;437;0
378;1337;108;0
379;1220;247;0
380;1253;63;0
381;1022;168;0
382;980;0;0
383;1570;176;1
384;3122;1386;0
385;987;0;0
386;1288;279;0
387;3808;1283;0
388;1697;709;0
389;1068;186;0
390;1050;103;0
391;1057;105;1
392;1197;0;1
393;1127;0;0
394;1169;471;0
395;915;614;0
396;2758;53;0
397;1701;0;0
398;1204;0;1
399;1197;0;0
400;1150;215;1
401;1204;48;0
402;1134;123;1
403;1841;282;0
404;1197;466;0
405;1232;118;0
406;1659;484;0
407;896;0;0
408;1596;65;0
409;1344;191;0
410;1435;121;1
411;1990;278;0
412;1246;0;0
413;947;16;1
414;1456;575;0
415;1183;661;1
416;2891;518;0
417;1743;434;1
418;1684;876;0
419;2233;657;0
420;1827;624;0
421;1533;334;0
422;1183;0;0
423;1722;0;0
424;1225;77;1
425;1042;181;0
426;1253;0;0
427;1393;312;0
428;1785;213;0
429;1022;368;0
430;1981;746;0
431;1061;119;0
432;1239;0;0
433;1337;316;0
434;1099;0;1
435;1260;0;0
436;1055;206;0
437;1400;88;0
438;1414;468;0
439;994;267;0
440;1125;0;0
441;1462;331;0
442;1169;207;0
443;1099;34;0
444;1022;0;0
445;1561;90;1
446;1526;518;0
447;1071;0;0
448;1176;64;0
449;1080;592;0
450;1477;1173;0
451;1061;60;0
452;1232;936;0
453;940;0;1
454;1316;314;1
455;1068;0;1
456;1295;1156;1
457;1379;0;0
458;1029;140;1
459;1225;30;0
460;1148;34;1
461;1786;464;0
462;1119;667;0
463;1204;1;0
464;973;0;0
465;1183;46;0
466;1134;250;0
467;1106;49;0
468;1290;123;1
469;1131;231;0
470;861;323;0
471;1015;0;0
472;1435;0;0
473;2289;1407;0
474;1505;386;0
475;1722;471;1
476;947;118;1
477;1085;0;0
478;1540;823;0
479;1190;410;0
480;1421;379;1
481;1057;0;0
482;1414;102;0
483;1414;49;1
484;1407;321;0
485;1602;340;0
486;1106;401;0
487;1449;0;1
488;1295;49;0
489;1131;456;1
490;1169;277;0
491;1638;640;1
492;1659;0;1
493;1155;0;0
494;1099;418;0
495;2443;1675;1
496;1498;703;0
497;991;106;1
498;1348;149;0
499;1582;134;0
500;1085;86;0
501;973;0;0
502;924;49;0
503;1246;0;1
504;973;34;0
505;1068;304;0
506;1672;548;1
507;1701;625;0
508;1563;737;0
509;1119;252;0
510;1708;725;0
511;1071;264;1
512;910;34;0
513;1421;306;0
514;1253;285;0
515;973;0;0
516;1085;34;0
517;1337;89;0
518;1148;65;1
519;1302;549;0
520;3402;3072;0
521;1227;205;0
522;1093;0;0
523;1195;241;1
524;1225;0;0
525;1092;192;0
526;2625;1691;0
527;1204;120;0
528;1001;0;0
529;1036;147;0
530;1267;0;0
531;1148;151;0
532;1190;0;0
533;1856;731;0
534;959;87;1
535;1414;238;0
536;1888;841;0
537;1190;75;0
538;1894;0;0
539;1246;137;0
540;1484;119;0
541;1120;0;0
542;1176;167;1
543;1297;110;0
544;1043;0;0
545;1365;189;1
546;1085;0;1
547;1309;0;0
548;1208;100;0
549;953;0;0
550;4731;702;0
551;1183;54;1
552;1736;593;0
553;1260;207;0
554;1278;320;0
555;998;0;0
556;1208;0;0
557;1232;129;0
558;1043;0;0
559;2317;857;0
560;1036;0;1
561;896;2;1
562;1360;880;0
563;1232;134;0
564;1360;153;0
565;1274;208;0
566;1260;0;0
567;1708;575;0
568;1519;0;1
569;1119;0;0
570;1092;110;0
571;1456;439;0
